best_objective,current_objective,episode_return,cumulative_reward,acceptance_rate,policy_loss,value_loss,entropy,stagnation
2.0,2.0,67.0396627881922,67.0396627881922,50.0,-0.07382962852716446,0.9275165796279907,10.199834823608398,3
0.0,0.0,61.5,61.5,20.0,-0.049751654267311096,0.8844634890556335,10.19407844543457,1
44.0,44.0,45.629986438097816,45.62998643809782,100.0,-0.058569055050611496,0.9058006405830383,10.144893646240234,0
9.0,9.0,74.52652367354305,74.52652367354304,100.0,-0.03627424314618111,0.8822089433670044,10.159364700317383,0
1.0,1.0,29.833333333333336,29.833333333333336,20.0,-0.03199367970228195,0.9678630828857422,10.188657760620117,8
1.0,1.0,0.0,0.0,0.0,-0.09015951305627823,0.8188104629516602,9.783397674560547,18
0.0,0.0,44.0,44.0,10.0,-0.05991237238049507,1.0588855743408203,10.119488716125488,9
20.0,20.0,68.75894798740195,68.75894798740194,90.0,-0.02791348099708557,0.9252067804336548,10.15279769897461,0
15.0,15.0,23.173494397759104,23.1734943977591,30.0,-0.03814507648348808,0.9615387916564941,10.145061492919922,5
9.0,9.0,35.4542624042624,35.4542624042624,30.0,-0.04364151880145073,0.8589354753494263,10.143350601196289,0
8.0,8.0,11.333333333333334,11.333333333333334,10.0,-0.024464186280965805,0.955446720123291,10.145703315734863,8
8.0,8.0,0.0,0.0,0.0,-0.0932406336069107,0.8371822237968445,9.811758995056152,18
8.0,8.0,0.0,0.0,0.0,-0.13273610174655914,0.8480696678161621,9.176536560058594,28
16.0,17.0,88.15515389957442,88.15515389957442,100.0,-0.03196842223405838,0.8919243812561035,10.13632869720459,0
11.0,11.0,24.421945701357465,24.421945701357465,30.0,-0.049245435744524,0.9925841093063354,10.149965286254883,4
1.0,1.0,57.16060606060606,57.16060606060606,30.0,-0.040424738079309464,0.8248754739761353,10.132142066955566,2
1.0,1.0,0.0,0.0,0.0,-0.05628550797700882,0.7990292906761169,10.069232940673828,12
1.0,1.0,0.0,0.0,0.0,-0.09810484945774078,0.8744125366210938,9.57406234741211,22
132.0,132.0,51.736915044449056,51.73691504444905,60.0,-0.04623829200863838,0.8989166021347046,9.987430572509766,1
104.0,104.0,52.45880101011505,52.45880101011506,60.0,-0.02883448824286461,0.8806589841842651,9.955513000488281,0
104.0,106.0,0.9168013375766935,0.9168013375766935,60.0,-0.05459729582071304,0.9366021156311035,10.000269889831543,0
97.0,97.0,30.984955795926147,30.984955795926147,40.0,-0.050295181572437286,0.983641505241394,9.951287269592285,1
90.0,90.0,30.961772926339204,30.9617729263392,70.0,-0.04170802980661392,0.8772533535957336,9.94415283203125,0
85.0,85.0,10.755274441320953,10.755274441320953,60.0,-0.03896043449640274,0.894698441028595,9.95811653137207,0
85.0,85.0,0.1744186046511628,0.1744186046511628,50.0,-0.03082125261425972,0.9037168622016907,9.963976860046387,1
84.0,84.0,10.328590971272229,10.328590971272229,60.0,-0.04858320206403732,0.8951548337936401,9.965448379516602,3
84.0,84.0,0.1411764705882353,0.1411764705882353,40.0,-0.04219319671392441,0.8865703344345093,9.938931465148926,1
79.0,79.0,10.668032212885153,10.668032212885153,20.0,-0.050773508846759796,0.9279656410217285,9.898398399353027,0
79.0,81.0,0.008420808891633255,0.008420808891633269,70.0,-0.0476769395172596,0.8632106781005859,9.962259292602539,0
79.0,81.0,0.1097560975609756,0.1097560975609756,30.0,-0.04105538874864578,0.8613771200180054,10.006879806518555,1
74.0,74.0,11.649824972651977,11.649824972651976,70.0,-0.05313169211149216,0.8665903806686401,9.94487190246582,0
72.0,72.0,10.433557941503148,10.433557941503148,40.0,-0.025173451751470566,0.9589254260063171,9.905485153198242,1
72.0,72.0,0.2054794520547945,0.2054794520547945,50.0,-0.037645041942596436,0.8521682024002075,9.905683517456055,0
70.0,70.0,10.444476600853218,10.444476600853216,40.0,-0.04159743711352348,0.8474562764167786,9.90234661102295,1
70.0,70.0,0.2112676056338028,0.2112676056338028,50.0,-0.047280412167310715,0.8690789341926575,9.915929794311523,3
64.0,64.0,11.126265284011764,11.126265284011764,60.0,-0.04626166820526123,0.8640226125717163,9.92093563079834,0
63.0,63.0,10.795315391512958,10.795315391512958,50.0,-0.0423147976398468,0.9822940826416016,9.95928955078125,0
60.0,60.0,10.623731459797034,10.623731459797032,30.0,-0.022758781909942627,0.8526687622070312,9.930034637451172,2
59.0,59.0,10.416666666666666,10.41666666666667,50.0,-0.041635263711214066,0.8638836741447449,9.935914039611816,0
59.0,59.0,0.15000000000000002,0.15000000000000002,30.0,-0.0510021448135376,0.8975130915641785,9.94701099395752,3
59.0,59.0,0.30000000000000004,0.3,60.0,-0.023830119520425797,0.8566935658454895,9.94523811340332,2
59.0,59.0,0.30000000000000004,0.3,60.0,-0.05169709771871567,0.9011510610580444,9.936817169189453,3
56.0,56.0,10.661106155218555,10.661106155218555,30.0,-0.039120860397815704,0.9303299188613892,9.895590782165527,5
51.0,51.0,11.22888953152111,11.228889531521112,60.0,-0.04472685977816582,0.8755896687507629,9.877230644226074,0
51.0,51.0,0.40384615384615385,0.4038461538461539,70.0,-0.03166862204670906,0.8950954675674438,9.937501907348633,0
51.0,51.0,0.40384615384615385,0.4038461538461539,70.0,-0.03061467409133911,0.9051804542541504,9.926569938659668,0
51.0,51.0,0.34615384615384615,0.3461538461538462,60.0,-0.0421178862452507,0.8323763608932495,9.905040740966797,1
46.0,46.0,21.354025865665417,21.354025865665413,60.0,-0.019908053800463676,0.8307197690010071,9.895795822143555,1
