algorithm,instance,instance_index,seed,operator_type,selection_entropy
ALNS-B,Example4,4,1,destroy,2.2311987673448987
ALNS-B,Example4,4,1,repair,1.4360051877027078
ALNS-B,Example4,4,2,destroy,2.0644150793730596
ALNS-B,Example4,4,2,repair,1.565787763981314
ALNS-B,Example5,5,0,destroy,2.118084094975412
ALNS-B,Example5,5,0,repair,1.2160081548985928
ALNS-B,Example5,5,1,destroy,1.8822792048472319
ALNS-B,Example5,5,1,repair,1.3074447458380936
ALNS-B,Example5,5,2,destroy,2.009002792250589
ALNS-B,Example5,5,2,repair,1.3973197308986567
ALNS-B,Example6,6,0,destroy,2.03813618016132
ALNS-B,Example6,6,0,repair,1.5528710835480577
ALNS-B,Example6,6,1,destroy,2.120598930902454
ALNS-B,Example6,6,1,repair,1.5557022256755815
ALNS-B,Example6,6,2,destroy,1.9575465289435159
ALNS-B,Example6,6,2,repair,1.5779088680671205
ALNS-B,Example7,7,0,destroy,1.7311740304839938
ALNS-B,Example7,7,0,repair,1.3209711040904644
ALNS-B,Example7,7,1,destroy,1.058126901125297
ALNS-B,Example7,7,1,repair,0.8782660625923172
ALNS-B,Example7,7,2,destroy,1.7105242395186566
ALNS-B,Example7,7,2,repair,1.3208883431493221
ALNS-B,Example8,8,0,destroy,1.982306851703289
ALNS-B,Example8,8,0,repair,1.404131845717205
ALNS-B,Example8,8,1,destroy,1.9997061121344957
ALNS-B,Example8,8,1,repair,1.4041005838479335
ALNS-B,Example8,8,2,destroy,2.0283195446307842
ALNS-B,Example8,8,2,repair,1.4545561486449319
ALNS-B,Example9,9,0,destroy,1.3727655308924485
ALNS-B,Example9,9,0,repair,1.2056282324887189
ALNS-B,Example9,9,1,destroy,1.5112947083564419
ALNS-B,Example9,9,1,repair,1.3341863749329532
ALNS-B,Example9,9,2,destroy,1.933809998920632
ALNS-B,Example9,9,2,repair,1.194453006323357
ALNS-B,Example10,10,0,destroy,1.429724432106108
ALNS-B,Example10,10,0,repair,1.3658971854491524
ALNS-B,Example10,10,1,destroy,1.7768004158187787
ALNS-B,Example10,10,1,repair,1.0035440236314965
ALNS-B,Example10,10,2,destroy,2.095409618702327
ALNS-B,Example10,10,2,repair,1.291209434290213
ALNS-B,Example11,11,0,destroy,1.7708108600734516
ALNS-B,Example11,11,0,repair,1.1689635697733074
ALNS-B,Example11,11,1,destroy,2.2051551011994586
ALNS-B,Example11,11,1,repair,1.357140143848188
ALNS-B,Example11,11,2,destroy,1.8167055106888137
ALNS-B,Example11,11,2,repair,1.3391071172869515
ALNS-B,Example12,12,0,destroy,1.9683304358882798
