algorithm,instance,seed,log_path,final_best_from_log,final_best_contributor_destroy,final_best_contributor_repair,n_iterations_in_log
ALNS-A,Example7,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/07_Example7_seed2.log,83.0,destroy_max_border_off,repair_chuffed_long,24
ALNS-A,Example8,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/08_Example8_seed0.log,9.0,destroy_random_workers_20pct,repair_gecode_long,34
ALNS-A,Example8,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/08_Example8_seed1.log,8.0,destroy_random_window_20pct,repair_chuffed_long,45
ALNS-A,Example8,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/08_Example8_seed2.log,5.0,destroy_random_window_20pct,repair_gecode_long,36
ALNS-A,Example9,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/09_Example9_seed0.log,155.0,destroy_exploration,repair_exploration,21
ALNS-A,Example9,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/09_Example9_seed1.log,115.0,destroy_exploration,repair_exploration,18
ALNS-A,Example9,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/09_Example9_seed2.log,90.0,destroy_all_forbidden_sequences,repair_gecode_fast,15
ALNS-A,Example10,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/10_Example10_seed0.log,68.0,destroy_max_border_off,repair_chuffed_long,28
ALNS-A,Example10,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/10_Example10_seed1.log,51.0,destroy_max_border_off,repair_chuffed_long,33
ALNS-A,Example10,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/10_Example10_seed2.log,27.0,destroy_all_forbidden_sequences,repair_gecode_fast,21
