algorithm,instance,instance_index,operator_type,operator_name,mean_selection_share,mean_improvement_probability,mean_acceptance_rate,mean_improving_delta
ALNS-A,Example3,3,repair,repair_chuffed_fast,0.3616551459293395,0.10846560846560845,0.20634920634920637,-23.166666666666668
ALNS-A,Example3,3,destroy,destroy_worst_workers_30pct,0.11856758832565284,0.05555555555555555,0.05555555555555555,-86.0
ALNS-A,Example3,3,destroy,destroy_all_forbidden_sequences,0.07690092165898617,0.1111111111111111,0.5,-124.0
ALNS-A,Example3,3,destroy,destroy_exploration,0.10368663594470046,0.0,0.25,nan
ALNS-A,Example3,3,repair,repair_exploration,0.10368663594470046,0.0,0.25,nan
ALNS-A,Example3,3,destroy,destroy_worst_days_30pct,0.03125,0.0,0.0,nan
ALNS-A,Example3,3,destroy,destroy_worst_workers_10pct,0.03225806451612903,0.0,1.0,nan
ALNS-A,Example4,4,destroy,destroy_streak_around_worst_worker,0.06568986568986569,0.0,0.08333333333333333,nan
ALNS-A,Example4,4,repair,repair_chuffed_long,0.17124542124542122,0.10000000000000002,0.7999999999999999,-3.5
ALNS-A,Example4,4,destroy,destroy_random_window_20pct,0.2727411477411477,0.2722222222222222,0.8250000000000001,-1.2380952380952381
ALNS-A,Example4,4,repair,repair_gecode_fast,0.2809523809523809,0.16987179487179485,0.6442307692307692,-1.8888888888888886
ALNS-A,Example4,4,destroy,destroy_all_forbidden_sequences,0.05857753357753357,0.5555555555555555,1.0,-6.0
ALNS-A,Example4,4,repair,repair_gecode_long,0.18513431013431014,0.20476190476190478,0.7714285714285715,-2.5
ALNS-A,Example4,4,repair,repair_chuffed_fast,0.29716117216117216,0.22592592592592595,0.6037037037037036,-5.5
ALNS-A,Example4,4,destroy,destroy_random_workers_20pct,0.19023199023199022,0.14074074074074075,0.9166666666666666,-1.0
ALNS-A,Example4,4,destroy,destroy_max_border_off,0.036904761904761905,1.0,1.0,-6.75
ALNS-A,Example4,4,destroy,destroy_worst_workers_10pct,0.06633089133089133,0.19444444444444442,1.0,-2.0
ALNS-A,Example4,4,destroy,destroy_worst_days_30pct,0.10763125763125764,0.0,0.0,nan
ALNS-A,Example4,4,destroy,destroy_random_days_20pct,0.04923687423687423,0.0,0.27777777777777773,nan
ALNS-A,Example4,4,destroy,destroy_worst_workers_30pct,0.09151404151404152,0.0,0.27777777777777773,nan
ALNS-A,Example4,4,destroy,destroy_exploration,0.0655067155067155,0.3333333333333333,0.9166666666666666,-1.5
ALNS-A,Example4,4,repair,repair_exploration,0.0655067155067155,0.3333333333333333,0.9166666666666666,-1.5
ALNS-A,Example4,4,destroy,destroy_worst_days_10pct,0.023809523809523808,1.0,1.0,-9.0
ALNS-A,Example5,5,destroy,destroy_streak_around_worst_worker,0.03966029922314075,0.16666666666666666,0.611111111111111,-5.0
ALNS-A,Example5,5,repair,repair_chuffed_long,0.10517958058941664,0.08333333333333333,0.25,-2.6666666666666665
ALNS-A,Example5,5,destroy,destroy_worst_days_10pct,0.01745598057073467,1.0,1.0,-12.5
ALNS-A,Example5,5,repair,repair_chuffed_fast,0.2935329192159793,0.2533422459893048,0.5597147950089126,-4.488888888888889
ALNS-A,Example5,5,destroy,destroy_random_window_20pct,0.3348045397225725,0.30246913580246915,0.7685185185185186,-2.393939393939394
ALNS-A,Example5,5,destroy,destroy_worst_workers_30pct,0.10567776687995267,0.047619047619047616,0.24761904761904763,-10.0
ALNS-A,Example5,5,destroy,destroy_worst_days_30pct,0.07528061899646599,0.0,0.0,nan
ALNS-A,Example5,5,repair,repair_gecode_fast,0.405111079974468,0.3186795491143318,0.668599033816425,-4.657575757575757
ALNS-A,Example5,5,destroy,destroy_random_workers_20pct,0.2165787056497439,0.3205128205128205,0.6849816849816849,-2.8333333333333335
ALNS-A,Example5,5,destroy,destroy_random_days_20pct,0.056053741846091576,0.0,0.6111111111111112,nan
ALNS-A,Example5,5,destroy,destroy_all_forbidden_sequences,0.05438014727632214,0.38888888888888884,1.0,-5.0
ALNS-A,Example5,5,repair,repair_gecode_long,0.15246057322560055,0.13333333333333333,0.9333333333333332,-2.0
ALNS-A,Example5,5,destroy,destroy_worst_workers_10pct,0.02921395544346364,0.25,1.0,-4.0
ALNS-A,Example5,5,destroy,destroy_exploration,0.13114754098360656,0.125,1.0,-1.0
ALNS-A,Example5,5,repair,repair_exploration,0.13114754098360656,0.125,1.0,-1.0
ALNS-A,Example5,5,destroy,destroy_max_border_off,0.10256410256410256,0.5,1.0,-7.5
ALNS-A,Example5,5,destroy,destroy_max_border_shift_1,0.02564102564102564,0.0,1.0,nan
ALNS-A,Example6,6,destroy,destroy_streak_around_worst_worker,0.08147977175908654,0.32575757575757575,0.8787878787878788,-3.8666666666666667
ALNS-A,Example6,6,repair,repair_chuffed_long,0.1614572596335245,0.110105580693816,1.0,-1.7777777777777777
ALNS-A,Example6,6,destroy,destroy_random_days_20pct,0.07425776383768505,0.10294117647058824,1.0,-2.166666666666667
ALNS-A,Example6,6,repair,repair_gecode_fast,0.24993391805839238,0.11530026990553306,0.9447537112010796,-4.0
ALNS-A,Example6,6,destroy,destroy_random_window_20pct,0.2302199991146917,0.1738705738705739,1.0,-1.95
ALNS-A,Example6,6,destroy,destroy_all_forbidden_sequences,0.03766164781170757,0.05555555555555555,0.8666666666666667,-1.0
ALNS-A,Example6,6,destroy,destroy_worst_workers_10pct,0.009545836837678722,0.5,1.0,-1.0
ALNS-A,Example6,6,repair,repair_chuffed_fast,0.3082854318302063,0.14698565323565324,0.9002899877899878,-2.361111111111111
ALNS-A,Example6,6,destroy,destroy_random_workers_20pct,0.0916226647358514,0.09230769230769231,1.0,-3.75
ALNS-A,Example6,6,destroy,destroy_worst_workers_30pct,0.17797500479541997,0.10634920634920635,0.9365079365079364,-1.8888888888888886
ALNS-A,Example6,6,destroy,destroy_worst_days_30pct,0.13373108970913405,0.022222222222222223,0.791919191919192,-3.0
ALNS-A,Example6,6,repair,repair_gecode_long,0.15022058932023077,0.09241483154526632,0.9696969696969697,-2.222222222222222
ALNS-A,Example6,6,destroy,destroy_exploration,0.130102801157646,0.015151515151515152,1.0,-8.0
ALNS-A,Example6,6,repair,repair_exploration,0.130102801157646,0.015151515151515152,1.0,-8.0
ALNS-A,Example6,6,destroy,destroy_max_border_work,0.012195121951219513,0.0,1.0,nan
ALNS-A,Example6,6,destroy,destroy_max_border_shift_2,0.024390243902439025,0.0,1.0,nan
ALNS-A,Example6,6,destroy,destroy_max_border_off,0.04878048780487805,0.0,1.0,nan
ALNS-A,Example6,6,destroy,destroy_max_border_shift_1,0.012195121951219513,0.0,1.0,nan
ALNS-A,Example6,6,destroy,destroy_worst_days_10pct,0.012195121951219513,0.0,1.0,nan
ALNS-A,Example7,7,destroy,destroy_max_border_off,0.1299407114624506,0.75,1.0,-44.22222222222223
ALNS-A,Example7,7,repair,repair_chuffed_long,0.2215909090909091,0.23809523809523808,0.30952380952380953,-37.0
ALNS-A,Example7,7,destroy,destroy_random_window_20pct,0.3771958717610892,0.047619047619047616,0.07539682539682539,-252.0
ALNS-A,Example7,7,repair,repair_gecode_fast,0.20191040843214755,0.27777777777777773,0.27777777777777773,-136.33333333333334
ALNS-A,Example7,7,destroy,destroy_worst_workers_30pct,0.06719367588932806,0.5,0.5,-130.0
ALNS-A,Example7,7,destroy,destroy_all_forbidden_sequences,0.0870663153271849,0.6666666666666666,1.0,-56.666666666666664
ALNS-A,Example7,7,destroy,destroy_random_workers_20pct,0.21711682037768995,0.15079365079365079,0.15079365079365079,-8.75
ALNS-A,Example7,7,repair,repair_chuffed_fast,0.5077404479578392,0.22657952069716777,0.35947712418300654,-36.27777777777778
ALNS-A,Example7,7,repair,repair_gecode_long,0.14772727272727273,0.5833333333333334,0.6666666666666666,-20.0
ALNS-A,Example7,7,destroy,destroy_streak_around_worst_worker,0.10795454545454546,0.0,0.0,nan
ALNS-A,Example7,7,destroy,destroy_exploration,0.06620553359683795,0.25,0.25,-7.0
ALNS-A,Example7,7,repair,repair_exploration,0.06620553359683795,0.25,0.25,-7.0
ALNS-A,Example7,7,destroy,destroy_worst_workers_10pct,0.041666666666666664,0.0,1.0,nan
ALNS-A,Example7,7,destroy,destroy_max_border_shift_1,0.041666666666666664,0.0,1.0,nan
ALNS-A,Example8,8,destroy,destroy_max_border_off,0.06328976034858387,0.6666666666666666,1.0,-9.666666666666666
ALNS-A,Example8,8,repair,repair_chuffed_long,0.1429193899782135,0.20833333333333334,0.4583333333333333,-2.166666666666667
ALNS-A,Example8,8,destroy,destroy_random_window_20pct,0.3891067538126361,0.28446115288220547,0.49916457811194653,-8.38888888888889
ALNS-A,Example8,8,repair,repair_gecode_fast,0.2791938997821351,0.2758838383838384,0.393939393939394,-17.933333333333334
ALNS-A,Example8,8,destroy,destroy_worst_days_30pct,0.07494553376906318,0.0,0.0,nan
ALNS-A,Example8,8,repair,repair_chuffed_fast,0.38834422657952067,0.18240740740740743,0.34861111111111115,-2.6666666666666665
ALNS-A,Example8,8,destroy,destroy_worst_workers_30pct,0.10217864923747277,0.3333333333333333,0.3333333333333333,-8.0
ALNS-A,Example8,8,destroy,destroy_all_forbidden_sequences,0.05108932461873639,0.611111111111111,1.0,-17.333333333333332
ALNS-A,Example8,8,destroy,destroy_random_workers_20pct,0.10718954248366012,0.1111111111111111,0.4305555555555555,-1.0
ALNS-A,Example8,8,repair,repair_gecode_long,0.13660130718954247,0.2222222222222222,0.5555555555555555,-5.0
ALNS-A,Example8,8,destroy,destroy_exploration,0.052941176470588235,0.5,1.0,-1.5
ALNS-A,Example8,8,repair,repair_exploration,0.052941176470588235,0.5,1.0,-1.5
ALNS-A,Example8,8,destroy,destroy_worst_days_10pct,0.022222222222222223,1.0,1.0,-6.0
ALNS-A,Example8,8,destroy,destroy_worst_workers_10pct,0.05,0.75,1.0,-6.5
ALNS-A,Example8,8,destroy,destroy_streak_around_worst_worker,0.07222222222222222,0.0,0.0,nan
ALNS-A,Example8,8,destroy,destroy_random_days_20pct,0.10555555555555556,0.0,0.08333333333333333,nan
ALNS-A,Example9,9,destroy,destroy_max_border_off,0.09100529100529099,0.6666666666666666,1.0,-48.0
ALNS-A,Example9,9,repair,repair_chuffed_long,0.20634920634920634,0.125,0.25,-234.0
ALNS-A,Example9,9,destroy,destroy_random_window_20pct,0.39206349206349206,0.07037037037037037,0.07037037037037037,-219.5
ALNS-A,Example9,9,repair,repair_gecode_fast,0.2111111111111111,0.2619047619047619,0.373015873015873,-91.75
ALNS-A,Example9,9,destroy,destroy_all_forbidden_sequences,0.056613756613756616,0.6666666666666666,1.0,-44.5
ALNS-A,Example9,9,destroy,destroy_random_workers_20pct,0.20158730158730162,0.0,0.0,nan
