instance,instance_index,algorithm,seed,objective,runtime_seconds,gap_to_cp,status,timeout_hit,solver_name,log_path,source_summary
Example2,2,ALNS-A,1,1.0,180.75237604798167,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/02_Example2_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example2,2,ALNS-A,2,0.0,97.22490298099001,nan,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/02_Example2_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example2,2,ALNS-B,0,0.0,26.06213583101635,nan,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/02_Example2_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example2,2,ALNS-B,1,0.0,33.84983048599679,nan,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/02_Example2_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example2,2,ALNS-B,2,1.0,182.90498496600776,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/02_Example2_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example3,3,ALNS-A,0,41.0,189.58927043297444,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/03_Example3_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example3,3,ALNS-A,1,20.0,183.75276427099016,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/03_Example3_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example3,3,ALNS-A,2,14.0,205.57112519198563,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/03_Example3_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example3,3,ALNS-B,0,41.0,189.21266257300158,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/03_Example3_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example3,3,ALNS-B,1,25.0,193.85295259198756,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/03_Example3_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example3,3,ALNS-B,2,12.0,223.6857906820078,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/03_Example3_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example4,4,ALNS-A,0,3.0,192.83669532398926,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/04_Example4_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example4,4,ALNS-A,1,3.0,189.2380877189862,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/04_Example4_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example4,4,ALNS-A,2,1.0,180.70654012900195,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/04_Example4_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
