record_type,algorithm,phase,operator_type,operator_name,selection_count,improvement_probability,mean_delta,mean_improving_delta
phase_metrics,ALNS-A,early_30pct,destroy,destroy_worst_workers_30pct,63,0.3333333333333333,12.253968253968255,-33.38095238095238
phase_metrics,ALNS-A,early_30pct,destroy,destroy_max_border_off,48,0.6041666666666666,-19.485714285714284,-23.517241379310345
phase_metrics,ALNS-A,early_30pct,destroy,destroy_max_border_work,2,0.0,0.0,nan
phase_metrics,ALNS-A,middle_40pct,destroy,destroy_max_border_off,15,0.9333333333333333,-18.133333333333333,-19.428571428571427
phase_metrics,ALNS-A,middle_40pct,destroy,destroy_worst_workers_10pct,3,0.0,0.0,nan
phase_metrics,ALNS-A,late_30pct,destroy,destroy_worst_workers_10pct,4,0.25,4.75,-1.0
phase_metrics,ALNS-A,late_30pct,destroy,destroy_worst_days_10pct,1,0.0,0.0,nan
phase_metrics,ALNS-A,late_30pct,destroy,destroy_max_border_shift_1,1,0.0,0.0,nan
phase_metrics,ALNS-A,middle_40pct,destroy,destroy_max_border_shift_1,1,1.0,-14.0,-14.0
phase_metrics,ALNS-A,middle_40pct,destroy,destroy_max_border_shift_2,1,1.0,-1.0,-1.0
phase_metrics,ALNS-A,late_30pct,destroy,destroy_max_border_shift_2,1,0.0,0.0,nan
phase_metrics,ALNS-B,early_30pct,destroy,destroy_streak_around_worst_worker,110,0.24545454545454545,22.37864077669903,-4.111111111111111
phase_metrics,ALNS-B,early_30pct,repair,repair_chuffed_long,86,0.22093023255813954,11.0,-11.0
phase_metrics,ALNS-B,early_30pct,repair,repair_gecode_fast,237,0.35443037974683544,-5.510548523206751,-54.892857142857146
phase_metrics,ALNS-B,early_30pct,destroy,destroy_worst_days_10pct,56,0.2857142857142857,-0.8571428571428571,-3.0
phase_metrics,ALNS-B,early_30pct,repair,repair_chuffed_fast,251,0.250996015936255,2.542372881355932,-38.904761904761905
phase_metrics,ALNS-B,early_30pct,destroy,destroy_all_forbidden_sequences,88,0.3977272727272727,-15.488636363636363,-40.08571428571429
phase_metrics,ALNS-B,early_30pct,repair,repair_gecode_long,95,0.18947368421052632,10.1625,-7.277777777777778
phase_metrics,ALNS-B,early_30pct,destroy,destroy_max_border_work,29,0.0,0.0,nan
phase_metrics,ALNS-B,early_30pct,destroy,destroy_max_border_shift_3,26,0.0,0.0,nan
phase_metrics,ALNS-B,early_30pct,destroy,destroy_max_border_off,64,0.40625,-10.490196078431373,-20.576923076923077
phase_metrics,ALNS-B,early_30pct,destroy,destroy_worst_workers_10pct,54,0.25925925925925924,-1.125,-3.857142857142857
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_exploration,72,0.125,-0.20833333333333334,-1.6666666666666667
phase_metrics,ALNS-B,middle_40pct,repair,repair_exploration,72,0.125,-0.20833333333333334,-1.6666666666666667
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_worst_days_10pct,95,0.09473684210526316,-0.10526315789473684,-1.1111111111111112
phase_metrics,ALNS-B,middle_40pct,repair,repair_gecode_fast,212,0.05660377358490566,15.59433962264151,-2.75
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_streak_around_worst_worker,125,0.08,31.632,-1.6
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_all_forbidden_sequences,92,0.05434782608695652,-0.05434782608695652,-4.4
phase_metrics,ALNS-B,middle_40pct,repair,repair_chuffed_fast,263,0.07984790874524715,21.88973384030418,-10.142857142857142
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_worst_workers_10pct,81,0.14814814814814814,-0.32098765432098764,-2.1666666666666665
phase_metrics,ALNS-B,middle_40pct,repair,repair_gecode_long,92,0.08695652173913043,9.5,-12.0
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_max_border_shift_1,21,0.047619047619047616,-0.7619047619047619,-16.0
phase_metrics,ALNS-B,middle_40pct,repair,repair_chuffed_long,114,0.14912280701754385,21.412280701754387,-3.2941176470588234
phase_metrics,ALNS-B,late_30pct,destroy,destroy_exploration,86,0.12790697674418605,13.174418604651162,-5.090909090909091
phase_metrics,ALNS-B,late_30pct,repair,repair_exploration,86,0.12790697674418605,13.174418604651162,-5.090909090909091
phase_metrics,ALNS-B,late_30pct,destroy,destroy_all_forbidden_sequences,44,0.022727272727272728,-0.09090909090909091,-4.0
phase_metrics,ALNS-B,late_30pct,repair,repair_chuffed_long,89,0.12359550561797752,7.550561797752809,-3.6363636363636362
phase_metrics,ALNS-B,late_30pct,destroy,destroy_streak_around_worst_worker,95,0.14736842105263157,12.0,-2.2142857142857144
phase_metrics,ALNS-B,late_30pct,repair,repair_gecode_long,57,0.03508771929824561,7.105263157894737,-3.5
phase_metrics,ALNS-B,late_30pct,repair,repair_chuffed_fast,107,0.11214953271028037,16.570093457943926,-4.166666666666667
phase_metrics,ALNS-B,late_30pct,destroy,destroy_worst_days_10pct,63,0.06349206349206349,-0.06349206349206349,-1.0
phase_metrics,ALNS-B,late_30pct,repair,repair_gecode_fast,105,0.13333333333333333,14.447619047619048,-10.285714285714286
phase_metrics,ALNS-B,early_30pct,destroy,destroy_random_window_20pct,99,0.36363636363636365,1.881720430107527,-87.83333333333333
phase_metrics,ALNS-B,early_30pct,destroy,destroy_max_border_shift_1,27,0.1111111111111111,-42.52173913043478,-326.0
phase_metrics,ALNS-B,early_30pct,destroy,destroy_exploration,27,0.37037037037037035,-0.5185185185185185,-1.4
phase_metrics,ALNS-B,early_30pct,repair,repair_exploration,27,0.37037037037037035,-0.5185185185185185,-1.4
phase_metrics,ALNS-B,early_30pct,destroy,destroy_max_border_shift_2,29,0.10344827586206896,-1.8571428571428572,-17.333333333333332
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_max_border_shift_2,22,0.045454545454545456,-0.045454545454545456,-1.0
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_max_border_shift_3,22,0.0,0.0,nan
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_max_border_off,30,0.4,-7.633333333333334,-19.083333333333332
phase_metrics,ALNS-B,late_30pct,destroy,destroy_max_border_shift_2,7,0.0,0.0,nan
phase_metrics,ALNS-B,late_30pct,destroy,destroy_max_border_off,14,0.42857142857142855,-6.928571428571429,-16.166666666666668
phase_metrics,ALNS-B,late_30pct,destroy,destroy_worst_workers_10pct,59,0.1016949152542373,-0.13559322033898305,-1.3333333333333333
phase_metrics,ALNS-B,early_30pct,destroy,destroy_worst_days_30pct,12,0.0,33.75,nan
phase_metrics,ALNS-B,early_30pct,destroy,destroy_random_days_20pct,7,0.7142857142857143,-46.142857142857146,-69.0
phase_metrics,ALNS-B,late_30pct,destroy,destroy_max_border_shift_1,5,0.0,0.0,nan
phase_metrics,ALNS-B,late_30pct,destroy,destroy_max_border_shift_3,12,0.0,0.0,nan
phase_metrics,ALNS-B,early_30pct,destroy,destroy_random_workers_20pct,39,0.3076923076923077,18.41025641025641,-9.333333333333334
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_max_border_work,28,0.0,0.0,nan
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_worst_days_30pct,9,0.1111111111111111,49.77777777777778,-1.0
phase_metrics,ALNS-B,late_30pct,destroy,destroy_random_window_20pct,23,0.21739130434782608,83.6086956521739,-12.6
phase_metrics,ALNS-B,late_30pct,destroy,destroy_worst_workers_30pct,7,0.42857142857142855,57.857142857142854,-11.333333333333334
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_random_window_20pct,66,0.06060606060606061,59.0,-6.5
phase_metrics,ALNS-B,early_30pct,destroy,destroy_worst_workers_30pct,29,0.2413793103448276,21.689655172413794,-86.0
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_random_workers_20pct,60,0.05,37.333333333333336,-17.0
phase_metrics,ALNS-B,late_30pct,destroy,destroy_max_border_work,1,0.0,0.0,nan
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_worst_workers_30pct,19,0.0,87.89473684210526,nan
phase_metrics,ALNS-B,late_30pct,destroy,destroy_random_workers_20pct,24,0.0,35.333333333333336,nan
phase_metrics,ALNS-B,middle_40pct,destroy,destroy_random_days_20pct,11,0.0,41.72727272727273,nan
phase_metrics,ALNS-B,late_30pct,destroy,destroy_worst_days_30pct,2,0.0,35.5,nan
phase_metrics,ALNS-B,late_30pct,destroy,destroy_random_days_20pct,2,0.0,46.5,nan
