algorithm,instance,instance_index,seed,iteration,elapsed,step_runtime,operator_type,operator_name,objective_before,objective_after,delta_objective,accepted,repair_failed,used_exploration
ALNS-A,Example0,0,0,27,59.761,3.406,repair,repair_gecode_fast,1.0,18.0,17.0,False,False,False
ALNS-A,Example0,0,0,28,60.521,0.76,destroy,destroy_random_days_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,0,28,60.521,0.76,repair,repair_chuffed_long,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,0,29,62.947,2.426,destroy,destroy_worst_workers_30pct,1.0,0.0,-1.0,True,False,False
ALNS-A,Example0,0,0,29,62.947,2.426,repair,repair_chuffed_long,1.0,0.0,-1.0,True,False,False
ALNS-A,Example0,0,1,1,0.935,0.935,destroy,destroy_random_window_20pct,inf,7.0,nan,True,False,False
ALNS-A,Example0,0,1,1,0.935,0.935,repair,repair_chuffed_fast,inf,7.0,nan,True,False,False
ALNS-A,Example0,0,1,2,1.743,0.808,destroy,destroy_random_workers_20pct,7.0,5.0,-2.0,True,False,False
ALNS-A,Example0,0,1,2,1.743,0.808,repair,repair_chuffed_fast,7.0,5.0,-2.0,True,False,False
ALNS-A,Example0,0,1,3,2.367,0.624,destroy,destroy_streak_around_worst_worker,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,1,3,2.367,0.624,repair,repair_chuffed_long,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,1,4,3.371,1.004,destroy,destroy_streak_around_worst_worker,5.0,3.0,-2.0,True,False,False
ALNS-A,Example0,0,1,4,3.371,1.004,repair,repair_gecode_long,5.0,3.0,-2.0,True,False,False
ALNS-A,Example0,0,1,5,3.934,0.563,destroy,destroy_all_forbidden_sequences,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,5,3.934,0.563,repair,repair_chuffed_fast,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,6,7.357,3.423,destroy,destroy_worst_days_30pct,3.0,19.0,16.0,False,False,False
ALNS-A,Example0,0,1,6,7.357,3.423,repair,repair_chuffed_fast,3.0,19.0,16.0,False,False,False
ALNS-A,Example0,0,1,7,22.814,15.457,destroy,destroy_worst_days_30pct,3.0,11.0,8.0,False,False,False
ALNS-A,Example0,0,1,7,22.814,15.457,repair,repair_gecode_long,3.0,11.0,8.0,False,False,False
ALNS-A,Example0,0,1,8,23.495,0.681,destroy,destroy_random_days_20pct,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,8,23.495,0.681,repair,repair_chuffed_fast,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,9,26.895,3.4,destroy,destroy_worst_days_30pct,3.0,16.0,13.0,False,False,False
ALNS-A,Example0,0,1,9,26.895,3.4,repair,repair_gecode_fast,3.0,16.0,13.0,False,False,False
ALNS-A,Example0,0,1,10,27.408,0.513,destroy,destroy_random_window_20pct,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,10,27.408,0.513,repair,repair_chuffed_long,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,11,28.207,0.799,destroy,destroy_random_days_20pct,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,11,28.207,0.799,repair,repair_gecode_long,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,12,28.923,0.715,destroy,destroy_random_days_20pct,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,12,28.923,0.715,repair,repair_chuffed_fast,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,13,29.637,0.715,destroy,destroy_random_workers_20pct,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,13,29.637,0.715,repair,repair_chuffed_fast,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,1,14,30.336,0.698,destroy,destroy_random_workers_20pct,3.0,2.0,-1.0,True,False,False
ALNS-A,Example0,0,1,14,30.336,0.698,repair,repair_chuffed_long,3.0,2.0,-1.0,True,False,False
ALNS-A,Example0,0,1,15,30.99,0.655,destroy,destroy_random_workers_20pct,2.0,2.0,0.0,True,False,False
ALNS-A,Example0,0,1,15,30.99,0.655,repair,repair_gecode_fast,2.0,2.0,0.0,True,False,False
ALNS-A,Example0,0,1,16,31.647,0.657,destroy,destroy_random_workers_20pct,2.0,2.0,0.0,True,False,False
ALNS-A,Example0,0,1,16,31.647,0.657,repair,repair_chuffed_long,2.0,2.0,0.0,True,False,False
ALNS-A,Example0,0,1,17,32.779,1.132,destroy,destroy_streak_around_worst_worker,2.0,2.0,0.0,True,False,False
ALNS-A,Example0,0,1,17,32.779,1.132,repair,repair_gecode_fast,2.0,2.0,0.0,True,False,False
ALNS-A,Example0,0,1,18,36.184,3.405,destroy,destroy_worst_days_30pct,2.0,8.0,6.0,False,False,False
ALNS-A,Example0,0,1,18,36.184,3.405,repair,repair_gecode_fast,2.0,8.0,6.0,False,False,False
ALNS-A,Example0,0,1,19,37.182,0.998,destroy,destroy_streak_around_worst_worker,2.0,2.0,0.0,True,False,False
ALNS-A,Example0,0,1,19,37.182,0.998,repair,repair_chuffed_fast,2.0,2.0,0.0,True,False,False
ALNS-A,Example0,0,1,20,37.9,0.718,destroy,destroy_random_workers_20pct,2.0,1.0,-1.0,True,False,False
ALNS-A,Example0,0,1,20,37.9,0.718,repair,repair_chuffed_fast,2.0,1.0,-1.0,True,False,False
ALNS-A,Example0,0,1,21,38.753,0.853,destroy,destroy_random_days_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,21,38.753,0.853,repair,repair_chuffed_fast,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,22,39.414,0.662,destroy,destroy_random_workers_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,22,39.414,0.662,repair,repair_chuffed_long,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,23,42.833,3.418,destroy,destroy_worst_days_30pct,1.0,10.0,9.0,False,False,False
ALNS-A,Example0,0,1,23,42.833,3.418,repair,repair_chuffed_fast,1.0,10.0,9.0,False,False,False
ALNS-A,Example0,0,1,24,43.518,0.685,destroy,destroy_random_workers_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,24,43.518,0.685,repair,repair_chuffed_long,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,25,44.177,0.659,destroy,destroy_random_workers_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,25,44.177,0.659,repair,repair_chuffed_fast,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,26,44.852,0.675,destroy,destroy_random_workers_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,26,44.852,0.675,repair,repair_gecode_fast,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,27,45.708,0.857,destroy,destroy_random_days_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,27,45.708,0.857,repair,repair_chuffed_fast,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,28,46.36,0.652,destroy,destroy_random_workers_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,28,46.36,0.652,repair,repair_gecode_fast,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,29,47.013,0.653,destroy,destroy_random_workers_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,29,47.013,0.653,repair,repair_gecode_long,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,30,55.5,8.487,destroy,destroy_streak_around_worst_worker,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,30,55.5,8.487,repair,repair_gecode_long,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,31,56.239,0.739,destroy,destroy_exploration,1.0,1.0,0.0,True,False,True
ALNS-A,Example0,0,1,31,56.239,0.739,repair,repair_exploration,1.0,1.0,0.0,True,False,True
ALNS-A,Example0,0,1,32,56.777,0.537,destroy,destroy_exploration,1.0,1.0,0.0,True,False,True
ALNS-A,Example0,0,1,32,56.777,0.537,repair,repair_exploration,1.0,1.0,0.0,True,False,True
ALNS-A,Example0,0,1,33,57.662,0.886,destroy,destroy_random_days_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,33,57.662,0.886,repair,repair_gecode_long,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,34,58.484,0.822,destroy,destroy_random_days_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,34,58.484,0.822,repair,repair_chuffed_long,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,35,61.862,3.378,destroy,destroy_worst_days_30pct,1.0,17.0,16.0,False,False,False
ALNS-A,Example0,0,1,35,61.862,3.378,repair,repair_chuffed_fast,1.0,17.0,16.0,False,False,False
ALNS-A,Example0,0,1,36,62.39,0.527,destroy,destroy_all_forbidden_sequences,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,36,62.39,0.527,repair,repair_gecode_fast,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,37,63.048,0.658,destroy,destroy_random_workers_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,37,63.048,0.658,repair,repair_chuffed_long,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,38,63.855,0.807,destroy,destroy_random_days_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,38,63.855,0.807,repair,repair_chuffed_fast,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,39,69.763,5.908,destroy,destroy_worst_days_30pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,39,69.763,5.908,repair,repair_gecode_long,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,40,70.419,0.656,destroy,destroy_random_workers_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,40,70.419,0.656,repair,repair_gecode_long,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,41,71.132,0.713,destroy,destroy_exploration,1.0,1.0,0.0,True,False,True
ALNS-A,Example0,0,1,41,71.132,0.713,repair,repair_exploration,1.0,1.0,0.0,True,False,True
ALNS-A,Example0,0,1,42,71.931,0.8,destroy,destroy_exploration,1.0,1.0,0.0,True,False,True
ALNS-A,Example0,0,1,42,71.931,0.8,repair,repair_exploration,1.0,1.0,0.0,True,False,True
ALNS-A,Example0,0,1,43,72.613,0.682,destroy,destroy_random_workers_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,43,72.613,0.682,repair,repair_chuffed_fast,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,1,44,80.525,7.912,destroy,destroy_streak_around_worst_worker,1.0,0.0,-1.0,True,False,False
ALNS-A,Example0,0,1,44,80.525,7.912,repair,repair_gecode_long,1.0,0.0,-1.0,True,False,False
ALNS-A,Example0,0,2,1,0.823,0.823,destroy,destroy_worst_workers_10pct,inf,10.0,nan,True,False,False
ALNS-A,Example0,0,2,1,0.823,0.823,repair,repair_gecode_long,inf,10.0,nan,True,False,False
ALNS-A,Example0,0,2,2,1.71,0.887,destroy,destroy_all_forbidden_sequences,10.0,10.0,0.0,True,False,False
ALNS-A,Example0,0,2,2,1.71,0.887,repair,repair_chuffed_fast,10.0,10.0,0.0,True,False,False
ALNS-A,Example0,0,2,3,2.427,0.716,destroy,destroy_random_days_20pct,10.0,8.0,-2.0,True,False,False
ALNS-A,Example0,0,2,3,2.427,0.716,repair,repair_gecode_long,10.0,8.0,-2.0,True,False,False
ALNS-A,Example0,0,2,4,3.101,0.674,destroy,destroy_streak_around_worst_worker,8.0,8.0,0.0,True,False,False
ALNS-A,Example0,0,2,4,3.101,0.674,repair,repair_chuffed_long,8.0,8.0,0.0,True,False,False
ALNS-A,Example0,0,2,5,18.513,15.412,destroy,destroy_worst_days_30pct,8.0,15.0,7.0,False,False,False
ALNS-A,Example0,0,2,5,18.513,15.412,repair,repair_gecode_long,8.0,15.0,7.0,False,False,False
ALNS-A,Example0,0,2,6,19.707,1.194,destroy,destroy_random_workers_20pct,8.0,6.0,-2.0,True,False,False
ALNS-A,Example0,0,2,6,19.707,1.194,repair,repair_gecode_fast,8.0,6.0,-2.0,True,False,False
ALNS-A,Example0,0,2,7,21.942,2.236,destroy,destroy_random_window_20pct,6.0,6.0,0.0,True,False,False
ALNS-A,Example0,0,2,7,21.942,2.236,repair,repair_chuffed_fast,6.0,6.0,0.0,True,False,False
ALNS-A,Example0,0,2,8,22.575,0.633,destroy,destroy_random_window_20pct,6.0,6.0,0.0,True,False,False
ALNS-A,Example0,0,2,8,22.575,0.633,repair,repair_chuffed_fast,6.0,6.0,0.0,True,False,False
ALNS-A,Example0,0,2,9,38.001,15.426,destroy,destroy_streak_around_worst_worker,6.0,11.0,5.0,False,False,False
