algorithm,instance,seed,iteration,elapsed,best_so_far_objective
ALNS-A,Example1,1,10,13.59,11.0
ALNS-A,Example1,1,11,14.892,8.0
ALNS-A,Example1,1,12,15.498,6.0
ALNS-A,Example1,1,13,16.129,6.0
ALNS-A,Example1,1,14,16.712,6.0
ALNS-A,Example1,1,15,17.591,6.0
ALNS-A,Example1,1,16,18.403,6.0
ALNS-A,Example1,1,17,19.147,6.0
ALNS-A,Example1,1,18,21.067,6.0
ALNS-A,Example1,1,19,21.589,6.0
ALNS-A,Example1,1,20,22.278,6.0
ALNS-A,Example1,1,21,22.866,6.0
ALNS-A,Example1,1,22,23.594,6.0
ALNS-A,Example1,1,23,24.514,6.0
ALNS-A,Example1,1,24,25.264,6.0
ALNS-A,Example1,1,25,25.882,6.0
ALNS-A,Example1,1,26,26.655,6.0
ALNS-A,Example1,1,27,27.351,6.0
ALNS-A,Example1,1,28,28.152,5.0
ALNS-A,Example1,1,29,28.793,5.0
ALNS-A,Example1,1,30,29.381,5.0
ALNS-A,Example1,1,31,30.072,4.0
ALNS-A,Example1,1,32,30.753,4.0
ALNS-A,Example1,1,33,31.392,4.0
ALNS-A,Example1,1,34,46.812,4.0
ALNS-A,Example1,1,35,47.55,4.0
ALNS-A,Example1,1,36,48.178,4.0
ALNS-A,Example1,1,37,48.916,4.0
ALNS-A,Example1,1,38,49.587,4.0
ALNS-A,Example1,1,39,64.999,4.0
ALNS-A,Example1,1,40,65.683,4.0
ALNS-A,Example1,1,41,66.655,4.0
ALNS-A,Example1,1,42,80.559,3.0
ALNS-A,Example1,1,43,81.979,3.0
ALNS-A,Example1,1,44,82.541,3.0
ALNS-A,Example1,1,45,83.195,3.0
ALNS-A,Example1,1,46,90.501,3.0
ALNS-A,Example1,1,47,106.036,3.0
ALNS-A,Example1,1,48,115.219,3.0
ALNS-A,Example1,1,49,115.87,3.0
ALNS-A,Example1,1,50,131.3,3.0
ALNS-A,Example1,1,51,131.943,3.0
ALNS-A,Example1,1,52,132.544,2.0
ALNS-A,Example1,1,53,133.095,2.0
ALNS-A,Example1,1,54,133.823,2.0
ALNS-A,Example1,1,55,134.528,2.0
ALNS-A,Example1,1,56,135.159,2.0
ALNS-A,Example1,1,57,136.074,2.0
ALNS-A,Example1,1,58,138.974,2.0
ALNS-A,Example1,1,59,139.651,2.0
ALNS-A,Example1,1,60,155.096,2.0
ALNS-A,Example1,1,61,155.643,2.0
ALNS-A,Example1,1,62,157.487,2.0
ALNS-A,Example1,1,63,158.105,2.0
ALNS-A,Example1,1,64,172.746,2.0
ALNS-A,Example1,1,65,173.582,2.0
ALNS-A,Example1,1,66,177.024,2.0
ALNS-A,Example1,1,67,177.827,2.0
ALNS-A,Example1,1,68,180.157,2.0
ALNS-A,Example1,2,1,0.832,21.0
ALNS-A,Example1,2,2,4.553,21.0
ALNS-A,Example1,2,3,5.04,21.0
ALNS-A,Example1,2,4,5.527,21.0
ALNS-A,Example1,2,5,6.084,21.0
ALNS-A,Example1,2,6,6.837,21.0
ALNS-A,Example1,2,7,7.426,21.0
ALNS-A,Example1,2,8,10.939,21.0
ALNS-A,Example1,2,9,12.398,12.0
ALNS-A,Example1,2,10,12.897,12.0
ALNS-A,Example1,2,11,16.32,12.0
ALNS-A,Example1,2,12,19.706,12.0
ALNS-A,Example1,2,13,20.674,12.0
ALNS-A,Example1,2,14,21.425,10.0
ALNS-A,Example1,2,15,23.306,8.0
ALNS-A,Example1,2,16,24.456,5.0
ALNS-A,Example1,2,17,25.232,5.0
ALNS-A,Example1,2,18,25.916,5.0
ALNS-A,Example1,2,19,27.396,5.0
ALNS-A,Example1,2,20,29.705,5.0
ALNS-A,Example1,2,21,30.398,5.0
ALNS-A,Example1,2,22,31.003,5.0
ALNS-A,Example1,2,23,32.069,5.0
ALNS-A,Example1,2,24,33.116,5.0
ALNS-A,Example1,2,25,34.887,4.0
ALNS-A,Example1,2,26,38.188,3.0
ALNS-A,Example1,2,27,39.19,3.0
ALNS-A,Example1,2,28,40.415,3.0
ALNS-A,Example1,2,29,41.111,3.0
ALNS-A,Example1,2,30,42.841,3.0
ALNS-A,Example1,2,31,43.583,3.0
ALNS-A,Example1,2,32,44.15,3.0
ALNS-A,Example1,2,33,45.12,3.0
ALNS-A,Example1,2,34,48.542,3.0
ALNS-A,Example1,2,35,51.703,3.0
ALNS-A,Example1,2,36,53.275,3.0
ALNS-A,Example1,2,37,53.956,3.0
ALNS-A,Example1,2,38,54.601,3.0
ALNS-A,Example1,2,39,55.275,3.0
ALNS-A,Example1,2,40,56.518,3.0
