algorithm,instance,instance_index,seed,operator_type,operator_name,selection_count,selection_share,improvement_count,improvement_probability,acceptance_rate,mean_delta,mean_improving_delta
ALNS-A,Example1,1,1,repair,repair_chuffed_long,9,0.1323529411764706,1,0.1111111111111111,0.7777777777777778,8.666666666666666,-1.0
ALNS-A,Example1,1,1,destroy,destroy_worst_days_30pct,6,0.08823529411764706,0,0.0,0.0,24.833333333333332,nan
ALNS-A,Example1,1,1,destroy,destroy_all_forbidden_sequences,5,0.07352941176470588,0,0.0,0.8,2.4,nan
ALNS-A,Example1,1,1,repair,repair_gecode_fast,17,0.25,3,0.17647058823529413,0.8823529411764706,2.6470588235294117,-2.0
ALNS-A,Example1,1,1,repair,repair_gecode_long,21,0.3088235294117647,3,0.14285714285714285,0.8571428571428571,2.1904761904761907,-1.6666666666666667
ALNS-A,Example1,1,1,destroy,destroy_worst_workers_10pct,1,0.014705882352941176,1,1.0,1.0,-2.0,-2.0
ALNS-A,Example1,1,1,destroy,destroy_worst_days_10pct,1,0.014705882352941176,0,0.0,1.0,0.0,nan
ALNS-A,Example1,1,1,destroy,destroy_max_border_shift_3,2,0.029411764705882353,0,0.0,1.0,0.0,nan
ALNS-A,Example1,1,1,destroy,destroy_exploration,6,0.08823529411764706,1,0.16666666666666666,1.0,-0.16666666666666666,-1.0
ALNS-A,Example1,1,1,repair,repair_exploration,6,0.08823529411764706,1,0.16666666666666666,1.0,-0.16666666666666666,-1.0
ALNS-A,Example1,1,1,destroy,destroy_worst_workers_30pct,3,0.04411764705882353,0,0.0,1.0,0.0,nan
ALNS-A,Example1,1,2,destroy,destroy_worst_workers_10pct,1,0.012987012987012988,0,0.0,1.0,nan,nan
ALNS-A,Example1,1,2,repair,repair_gecode_long,20,0.2597402597402597,2,0.1,1.0,-0.10526315789473684,-1.0
ALNS-A,Example1,1,2,destroy,destroy_all_forbidden_sequences,3,0.03896103896103896,0,0.0,0.6666666666666666,6.333333333333333,nan
ALNS-A,Example1,1,2,repair,repair_chuffed_fast,14,0.18181818181818182,0,0.0,0.7142857142857143,6.714285714285714,nan
ALNS-A,Example1,1,2,destroy,destroy_max_border_shift_3,1,0.012987012987012988,0,0.0,1.0,0.0,nan
ALNS-A,Example1,1,2,repair,repair_chuffed_long,3,0.03896103896103896,0,0.0,0.6666666666666666,9.0,nan
ALNS-A,Example1,1,2,destroy,destroy_max_border_shift_2,4,0.05194805194805195,0,0.0,1.0,0.0,nan
ALNS-A,Example1,1,2,destroy,destroy_max_border_shift_1,1,0.012987012987012988,0,0.0,1.0,0.0,nan
ALNS-A,Example1,1,2,repair,repair_gecode_fast,32,0.4155844155844156,7,0.21875,0.84375,2.53125,-3.0
ALNS-A,Example1,1,2,destroy,destroy_worst_days_30pct,7,0.09090909090909091,0,0.0,0.0,26.285714285714285,nan
ALNS-A,Example1,1,2,destroy,destroy_random_days_20pct,22,0.2857142857142857,4,0.18181818181818182,1.0,-0.5909090909090909,-3.75
ALNS-A,Example1,1,2,destroy,destroy_random_workers_20pct,9,0.11688311688311688,1,0.1111111111111111,1.0,-0.4444444444444444,-4.0
ALNS-A,Example1,1,2,destroy,destroy_streak_around_worst_worker,3,0.03896103896103896,1,0.3333333333333333,1.0,-0.3333333333333333,-1.0
ALNS-A,Example1,1,2,destroy,destroy_random_window_20pct,3,0.03896103896103896,0,0.0,1.0,0.0,nan
ALNS-A,Example1,1,2,destroy,destroy_worst_workers_30pct,15,0.19480519480519481,3,0.2,0.8666666666666667,1.0,-1.0
ALNS-A,Example1,1,2,destroy,destroy_exploration,8,0.1038961038961039,0,0.0,1.0,0.0,nan
ALNS-A,Example1,1,2,repair,repair_exploration,8,0.1038961038961039,0,0.0,1.0,0.0,nan
ALNS-A,Example2,2,0,destroy,destroy_streak_around_worst_worker,5,0.1282051282051282,0,0.0,0.8,2.75,nan
ALNS-A,Example2,2,0,repair,repair_chuffed_long,5,0.1282051282051282,2,0.4,1.0,-0.5,-1.0
ALNS-A,Example2,2,0,destroy,destroy_worst_days_30pct,7,0.1794871794871795,3,0.42857142857142855,0.7142857142857143,8.714285714285714,-1.0
ALNS-A,Example2,2,0,destroy,destroy_max_border_off,1,0.02564102564102564,1,1.0,1.0,-13.0,-13.0
ALNS-A,Example2,2,0,repair,repair_chuffed_fast,15,0.38461538461538464,5,0.3333333333333333,0.8,2.4,-7.8
ALNS-A,Example2,2,0,destroy,destroy_worst_workers_10pct,1,0.02564102564102564,1,1.0,1.0,-8.0,-8.0
ALNS-A,Example2,2,0,destroy,destroy_random_window_20pct,4,0.10256410256410256,1,0.25,1.0,-4.5,-18.0
ALNS-A,Example2,2,0,repair,repair_gecode_fast,10,0.2564102564102564,3,0.3,1.0,-2.0,-6.666666666666667
ALNS-A,Example2,2,0,destroy,destroy_worst_workers_30pct,8,0.20512820512820512,2,0.25,1.0,-2.125,-8.5
ALNS-A,Example2,2,0,destroy,destroy_random_workers_20pct,6,0.15384615384615385,1,0.16666666666666666,1.0,-0.16666666666666666,-1.0
ALNS-A,Example2,2,0,destroy,destroy_random_days_20pct,3,0.07692307692307693,1,0.3333333333333333,1.0,-0.3333333333333333,-1.0
ALNS-A,Example2,2,0,repair,repair_gecode_long,5,0.1282051282051282,0,0.0,1.0,0.0,nan
ALNS-A,Example2,2,0,destroy,destroy_exploration,4,0.10256410256410256,0,0.0,1.0,0.0,nan
ALNS-A,Example2,2,0,repair,repair_exploration,4,0.10256410256410256,0,0.0,1.0,0.0,nan
ALNS-A,Example2,2,1,destroy,destroy_random_window_20pct,25,0.2604166666666667,1,0.04,1.0,-0.08333333333333333,-2.0
ALNS-A,Example2,2,1,repair,repair_chuffed_fast,35,0.3645833333333333,6,0.17142857142857143,0.8571428571428571,2.8529411764705883,-4.666666666666667
ALNS-A,Example2,2,1,destroy,destroy_random_workers_20pct,7,0.07291666666666667,2,0.2857142857142857,1.0,-3.4285714285714284,-12.0
ALNS-A,Example2,2,1,destroy,destroy_streak_around_worst_worker,7,0.07291666666666667,2,0.2857142857142857,0.7142857142857143,6.857142857142857,-6.0
ALNS-A,Example2,2,1,repair,repair_chuffed_long,12,0.125,1,0.08333333333333333,0.9166666666666666,2.3333333333333335,-10.0
ALNS-A,Example2,2,1,destroy,destroy_worst_days_30pct,7,0.07291666666666667,0,0.0,0.2857142857142857,19.857142857142858,nan
ALNS-A,Example2,2,1,repair,repair_gecode_fast,27,0.28125,2,0.07407407407407407,0.9629629629629629,-0.14814814814814814,-12.5
ALNS-A,Example2,2,1,destroy,destroy_worst_workers_30pct,30,0.3125,4,0.13333333333333333,0.9666666666666667,-0.5,-6.25
ALNS-A,Example2,2,1,destroy,destroy_random_days_20pct,6,0.0625,0,0.0,1.0,0.0,nan
ALNS-A,Example2,2,1,repair,repair_gecode_long,8,0.08333333333333333,0,0.0,0.875,3.125,nan
ALNS-A,Example2,2,1,destroy,destroy_exploration,14,0.14583333333333334,0,0.0,1.0,0.0,nan
ALNS-A,Example2,2,1,repair,repair_exploration,14,0.14583333333333334,0,0.0,1.0,0.0,nan
ALNS-A,Example2,2,2,destroy,destroy_worst_workers_10pct,1,0.0136986301369863,0,0.0,1.0,nan,nan
ALNS-A,Example2,2,2,repair,repair_gecode_long,12,0.1643835616438356,4,0.3333333333333333,1.0,-2.1818181818181817,-6.0
ALNS-A,Example2,2,2,destroy,destroy_all_forbidden_sequences,2,0.0273972602739726,1,0.5,1.0,-3.0,-6.0
ALNS-A,Example2,2,2,repair,repair_chuffed_fast,20,0.273972602739726,3,0.15,0.95,0.65,-2.6666666666666665
ALNS-A,Example2,2,2,destroy,destroy_random_workers_20pct,6,0.0821917808219178,1,0.16666666666666666,1.0,-1.6666666666666667,-10.0
ALNS-A,Example2,2,2,destroy,destroy_random_window_20pct,21,0.2876712328767123,5,0.23809523809523808,1.0,-1.1428571428571428,-4.8
ALNS-A,Example2,2,2,repair,repair_gecode_fast,21,0.2876712328767123,3,0.14285714285714285,1.0,-1.4285714285714286,-10.0
ALNS-A,Example2,2,2,destroy,destroy_worst_workers_30pct,14,0.1917808219178082,2,0.14285714285714285,1.0,-1.5,-10.5
ALNS-A,Example2,2,2,destroy,destroy_max_border_work,1,0.0136986301369863,0,0.0,1.0,0.0,nan
ALNS-A,Example2,2,2,destroy,destroy_random_days_20pct,10,0.136986301369863,1,0.1,1.0,-0.1,-1.0
ALNS-A,Example2,2,2,destroy,destroy_worst_days_30pct,4,0.0547945205479452,0,0.0,0.75,5.25,nan
ALNS-A,Example2,2,2,destroy,destroy_streak_around_worst_worker,4,0.0547945205479452,1,0.25,1.0,-0.25,-1.0
ALNS-A,Example2,2,2,repair,repair_chuffed_long,10,0.136986301369863,1,0.1,1.0,-0.1,-1.0
ALNS-A,Example2,2,2,destroy,destroy_exploration,10,0.136986301369863,0,0.0,1.0,0.0,nan
ALNS-A,Example2,2,2,repair,repair_exploration,10,0.136986301369863,0,0.0,1.0,0.0,nan
ALNS-A,Example3,3,0,destroy,destroy_max_border_off,1,0.07142857142857142,0,0.0,1.0,nan,nan
ALNS-A,Example3,3,0,repair,repair_chuffed_long,2,0.14285714285714285,0,0.0,0.5,15.0,nan
ALNS-A,Example3,3,0,destroy,destroy_random_window_20pct,4,0.2857142857142857,1,0.25,0.25,19.25,-121.0
ALNS-A,Example3,3,0,repair,repair_gecode_fast,2,0.14285714285714285,1,0.5,0.5,-54.0,-121.0
ALNS-A,Example3,3,0,destroy,destroy_streak_around_worst_worker,1,0.07142857142857142,0,0.0,0.0,37.0,nan
ALNS-A,Example3,3,0,repair,repair_gecode_long,3,0.21428571428571427,0,0.0,0.0,18.666666666666668,nan
ALNS-A,Example3,3,0,destroy,destroy_random_workers_20pct,4,0.2857142857142857,0,0.0,0.0,15.5,nan
ALNS-A,Example3,3,0,repair,repair_chuffed_fast,5,0.35714285714285715,0,0.0,0.0,56.0,nan
ALNS-A,Example3,3,0,destroy,destroy_worst_workers_30pct,1,0.07142857142857142,0,0.0,0.0,50.0,nan
ALNS-A,Example3,3,0,destroy,destroy_all_forbidden_sequences,1,0.07142857142857142,0,0.0,0.0,17.0,nan
ALNS-A,Example3,3,0,destroy,destroy_exploration,2,0.14285714285714285,0,0.0,0.0,25.5,nan
ALNS-A,Example3,3,0,repair,repair_exploration,2,0.14285714285714285,0,0.0,0.0,25.5,nan
ALNS-A,Example3,3,1,destroy,destroy_max_border_off,5,0.15625,4,0.8,1.0,-17.0,-17.0
